Valor carga,Peso carga,Lista de productos
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
327,50,"Botella de agua, Linterna LED, Mapa topográfico, Mosquetones de acero, GPS de montaña, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Manta térmica"
409,75,"Botiquı́n de primeros auxilios, Baterı́as recargables, Mapa topográfico, Brújula profesional, Saco de dormir térmico, Guantes térmicos, Filtro portátil de agua, Estufa portátil, Kit de reparación, Radio de emergencia, Cuaderno impermeable, Teléfono satelital, Power bank alta capacidad, Manta térmica, Silbato de emergencia"
274,47,"Linterna LED, Brújula profesional, Colchoneta inflable, Filtro portátil de agua, Cartucho de gas, Kit de reparación, Panel solar portátil, Teléfono satelital, Manta térmica, Silbato de emergencia"
387,75,"Botiquı́n de primeros auxilios, Baterı́as recargables, Mapa topográfico, Chamarra impermeable, Guantes térmicos, Cuerda de escalada, Mosquetones de acero, Kit de reparación, Radio de emergencia, Teléfono satelital, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
997,181,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Cuchillo multiusos, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica"
508,95,"Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Brújula profesional, Colchoneta inflable, Chamarra impermeable, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Raciones energéticas, Manta térmica"
973,177,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
645,120,"Botiquı́n de primeros auxilios, Linterna LED, Cuchillo multiusos, Mapa topográfico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
966,176,"Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Radio de emergencia, Panel solar portátil, GPS de montaña, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
635,111,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Mapa topográfico, Tienda de campaña ultraligera, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Raciones energéticas, Manta térmica, Silbato de emergencia"
950,172,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Silbato de emergencia"
535,101,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Cuerda de escalada, Mosquetones de acero, Cartucho de gas, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Power bank alta capacidad, Raciones energéticas"
956,174,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Mapa topográfico, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
567,103,"Comida deshidratada, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Tienda de campaña ultraligera, Saco de dormir térmico, Guantes térmicos, Filtro portátil de agua, Mosquetones de acero, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, Cuaderno impermeable, Teléfono satelital, Power bank alta capacidad, Manta térmica, Silbato de emergencia"
977,176,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Estufa portátil, Cartucho de gas, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas"
575,105,"Botiquı́n de primeros auxilios, Baterı́as recargables, Cuchillo multiusos, Brújula profesional, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Radio de emergencia, Cámara compacta, Laptop ultraligera, Raciones energéticas"
300,49,"Baterı́as recargables, Cuchillo multiusos, Brújula profesional, Saco de dormir térmico, Colchoneta inflable, Filtro portátil de agua, GPS de montaña, Teléfono satelital, Power bank alta capacidad"
315,52,"Baterı́as recargables, Cuchillo multiusos, Brújula profesional, Saco de dormir térmico, Colchoneta inflable, Guantes térmicos, Filtro portátil de agua, GPS de montaña, Teléfono satelital, Power bank alta capacidad"
293,50,"Comida deshidratada, Botiquı́n de primeros auxilios, Baterı́as recargables, Cuchillo multiusos, Brújula profesional, Guantes térmicos, Kit de reparación, GPS de montaña, Teléfono satelital, Power bank alta capacidad"
338,59,"Comida deshidratada, Botiquı́n de primeros auxilios, Baterı́as recargables, Cuchillo multiusos, Brújula profesional, Guantes térmicos, Kit de reparación, Radio de emergencia, GPS de montaña, Teléfono satelital, Power bank alta capacidad"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
1054,192,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
323,50,"Linterna LED, Baterı́as recargables, Brújula profesional, Guantes térmicos, Filtro portátil de agua, Panel solar portátil, Cámara compacta, Laptop ultraligera"
335,54,"Cuchillo multiusos, Tienda de campaña ultraligera, Filtro portátil de agua, Cartucho de gas, GPS de montaña, Laptop ultraligera, Raciones energéticas"
293,45,"Linterna LED, Radio de emergencia, GPS de montaña, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica"
343,60,"Botiquı́n de primeros auxilios, Linterna LED, Brújula profesional, Chamarra impermeable, Cartucho de gas, Radio de emergencia, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Manta térmica"
992,180,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
539,97,"Botella de agua, Baterı́as recargables, Cuchillo multiusos, Chamarra impermeable, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Cartucho de gas, Radio de emergencia, Panel solar portátil, Cámara compacta, Laptop ultraligera, Raciones energéticas, Silbato de emergencia"
965,174,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Filtro portátil de agua, Cuerda de escalada, Estufa portátil, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas"
564,97,"Botella de agua, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Guantes térmicos, Cuerda de escalada, Mosquetones de acero, Cartucho de gas, Panel solar portátil, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Manta térmica"
999,182,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica"
599,110,"Botella de agua, Comida deshidratada, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Kit de reparación, Radio de emergencia, Panel solar portátil, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Power bank alta capacidad, Raciones energéticas, Silbato de emergencia"
960,176,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Kit de reparación, Radio de emergencia, Panel solar portátil, Cámara compacta, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas"
581,109,"Botella de agua, Comida deshidratada, Linterna LED, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Colchoneta inflable, Chamarra impermeable, Estufa portátil, Kit de reparación, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Power bank alta capacidad, Raciones energéticas, Silbato de emergencia"
1036,188,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Brújula profesional, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Teléfono satelital, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
523,95,"Botella de agua, Comida deshidratada, Linterna LED, Tienda de campaña ultraligera, Saco de dormir térmico, Filtro portátil de agua, Mosquetones de acero, Cartucho de gas, Kit de reparación, Panel solar portátil, Cámara compacta, Teléfono satelital, Raciones energéticas, Manta térmica, Silbato de emergencia"
938,171,"Botella de agua, Comida deshidratada, Botiquı́n de primeros auxilios, Linterna LED, Baterı́as recargables, Cuchillo multiusos, Mapa topográfico, Tienda de campaña ultraligera, Saco de dormir térmico, Colchoneta inflable, Chamarra impermeable, Guantes térmicos, Filtro portátil de agua, Cuerda de escalada, Estufa portátil, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Laptop ultraligera, Power bank alta capacidad, Raciones energéticas, Manta térmica, Silbato de emergencia"
577,109,"Botella de agua, Comida deshidratada, Linterna LED, Cuchillo multiusos, Brújula profesional, Chamarra impermeable, Filtro portátil de agua, Cuerda de escalada, Mosquetones de acero, Estufa portátil, Cartucho de gas, Radio de emergencia, Panel solar portátil, GPS de montaña, Cámara compacta, Cuaderno impermeable, Raciones energéticas"
278,50,"Linterna LED, Baterı́as recargables, Colchoneta inflable, Filtro portátil de agua, Estufa portátil, Kit de reparación, Radio de emergencia, Cámara compacta, Cuaderno impermeable, Manta térmica, Silbato de emergencia"
